plot,treatment,Algal_Total,Algal_Species,Id,morph,growth,growthBin,dead,algalContact,avgContact,max,Month,Year,Species,Percent_cover,tile,recruits,algaeBiomass_mg
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,totalUpright,43,3,1,28
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,totalUpright,43,4,1,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,artCal,11,1,0,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,artCal,11,2,1,35
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,artCal,11,3,1,28
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,artCal,11,4,1,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,cca,3,1,0,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,cca,3,2,1,35
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,cca,3,3,1,28
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,cca,3,4,1,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,Turf,34,1,0,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,Turf,34,2,1,35
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,Turf,34,3,1,28
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,Turf,34,4,1,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,totalAlgae,84,1,0,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,totalAlgae,84,2,1,35
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,totalAlgae,84,3,1,28
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,totalAlgae,84,4,1,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,stonyCorals,4,1,0,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,stonyCorals,4,2,1,35
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,stonyCorals,4,3,1,28
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,stonyCorals,4,4,1,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,gorgonians,8,1,0,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,gorgonians,8,2,1,35
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,gorgonians,8,3,1,28
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,gorgonians,8,4,1,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,sponges,6,1,0,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,sponges,6,2,1,35
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,sponges,6,3,1,28
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,sponges,6,4,1,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,zooanthids,1,1,0,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,zooanthids,1,2,1,35
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,zooanthids,1,3,1,28
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,zooanthids,1,4,1,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,fireCoral,1,1,0,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,fireCoral,1,2,1,35
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,fireCoral,1,3,1,28
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,fireCoral,1,4,1,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,bare,1,1,0,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,bare,1,2,1,35
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,bare,1,3,1,28
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,bare,1,4,1,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,dictyota,22,1,0,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,dictyota,22,2,1,35
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,dictyota,22,3,1,28
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,dictyota,22,4,1,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,sargassum,1,1,0,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,sargassum,1,2,1,35
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,sargassum,1,3,1,28
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,sargassum,1,4,1,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,acanthophora,0,1,0,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,acanthophora,0,2,1,35
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,acanthophora,0,3,1,28
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,acanthophora,0,4,1,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,totalUpright,24,1,0,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,totalUpright,24,2,1,35
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,totalUpright,24,3,1,28
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,totalUpright,24,4,1,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,artCal,1,1,0,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,artCal,1,2,1,35
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,artCal,1,3,1,28
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,artCal,1,4,1,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,cca,8,1,0,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,cca,8,2,1,35
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,cca,8,3,1,28
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,cca,8,4,1,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,Turf,47,1,0,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,Turf,47,2,1,35
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,Turf,47,3,1,28
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,Turf,47,4,1,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,totalAlgae,92,1,0,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,totalAlgae,92,2,1,35
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,totalAlgae,92,3,1,28
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,totalAlgae,92,4,1,88
